IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,60388,34.120.31.123,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,applog.matrix.easebar.com,2565,6482,11,10,2026-02-02T20:45:44.935+08:00,2026-02-02T20:45:46.526+08:00
6,10.215.173.1,52612,34.49.114.55,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,appdump.nie.easebar.com,1600,6130,9,9,2026-02-02T20:45:44.945+08:00,2026-02-02T20:45:45.920+08:00
6,10.215.173.1,51216,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,2452,11929,15,15,2026-02-02T20:45:45.080+08:00,2026-02-02T20:45:47.362+08:00
6,10.215.173.1,51220,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,5930,23258,26,28,2026-02-02T20:45:45.140+08:00,2026-02-02T20:46:14.760+08:00
6,10.215.173.1,58002,8.221.193.58,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,data-detect.nie.easebar.com,1712,4583,11,11,2026-02-02T20:45:45.164+08:00,2026-02-02T20:45:46.514+08:00
6,10.215.173.1,51224,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,graph.facebook.com,1870,3413,11,10,2026-02-02T20:45:45.250+08:00,2026-02-02T20:45:46.273+08:00
6,10.215.173.1,38086,34.36.163.39,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,mcount.easebar.com,1908,1505,9,9,2026-02-02T20:45:45.680+08:00,2026-02-02T20:45:46.698+08:00
17,10.215.173.1,50963,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,firebaseremoteconfig.googleapis.com,81,225,1,1,2026-02-02T20:45:45.939+08:00,2026-02-02T20:45:45.954+08:00
6,10.215.173.1,35414,142.251.220.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Error,firebaseremoteconfig.googleapis.com,2634,6215,9,9,2026-02-02T20:45:45.959+08:00,2026-02-02T20:45:59.801+08:00
17,10.215.173.1,21474,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,kiwarb-conversions.appsflyersdk.com,81,145,1,1,2026-02-02T20:45:46.166+08:00,2026-02-02T20:45:46.217+08:00
6,10.215.173.1,60250,108.158.209.173,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,kiwarb-conversions.appsflyersdk.com,4611,5856,11,11,2026-02-02T20:45:46.224+08:00,2026-02-02T20:46:06.145+08:00
6,10.215.173.1,53944,8.221.190.98,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,unisdk.proxima.nie.easebar.com,1477,4108,12,12,2026-02-02T20:45:46.413+08:00,2026-02-02T20:46:12.814+08:00
17,10.215.173.1,56788,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,218,1,1,2026-02-02T20:45:47.037+08:00,2026-02-02T20:45:47.052+08:00
17,10.215.173.1,25193,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,drpf-h67naxx2gb.proxima.nie.easebar.com,85,226,1,1,2026-02-02T20:45:47.040+08:00,2026-02-02T20:45:47.055+08:00
17,10.215.173.1,23685,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,178,1,1,2026-02-02T20:45:47.042+08:00,2026-02-02T20:45:47.058+08:00
6,10.215.173.1,37338,8.221.190.190,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,drpf-h67naxx2gb.proxima.nie.easebar.com,32051,10932,38,39,2026-02-02T20:45:47.062+08:00,2026-02-02T20:46:14.822+08:00
6,10.215.173.1,54640,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1580,5021,11,12,2026-02-02T20:45:47.068+08:00,2026-02-02T20:46:14.652+08:00
17,10.215.173.1,37218,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,244,1,1,2026-02-02T20:45:48.254+08:00,2026-02-02T20:45:48.270+08:00
17,10.215.173.1,51510,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,220,1,1,2026-02-02T20:45:48.256+08:00,2026-02-02T20:45:48.272+08:00
6,10.215.173.1,43240,202.69.184.106,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,112833,19808738,2468,6305,2026-02-02T20:45:48.283+08:00,2026-02-02T20:46:14.655+08:00
17,10.215.173.1,62765,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,244,1,1,2026-02-02T20:45:55.419+08:00,2026-02-02T20:45:55.436+08:00
17,10.215.173.1,46266,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,244,1,1,2026-02-02T20:45:55.422+08:00,2026-02-02T20:45:55.438+08:00
17,10.215.173.1,13629,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,220,1,1,2026-02-02T20:45:55.424+08:00,2026-02-02T20:45:55.440+08:00
17,10.215.173.1,56677,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,220,1,1,2026-02-02T20:45:55.426+08:00,2026-02-02T20:45:55.443+08:00
6,10.215.173.1,42940,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,16039,1590244,149,276,2026-02-02T20:45:55.449+08:00,2026-02-02T20:46:14.945+08:00
6,10.215.173.1,50746,161.49.36.97,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,28496,5591997,455,986,2026-02-02T20:45:55.457+08:00,2026-02-02T20:46:14.917+08:00
6,10.215.173.1,42944,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,25490,7735461,429,1073,2026-02-02T20:45:55.460+08:00,2026-02-02T20:46:14.666+08:00
6,10.215.173.1,42950,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,26324,6437401,463,1088,2026-02-02T20:45:55.464+08:00,2026-02-02T20:46:14.761+08:00
6,10.215.173.1,42962,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,20825,1614083,243,422,2026-02-02T20:45:55.467+08:00,2026-02-02T20:46:14.908+08:00
6,10.215.173.1,42966,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,13264,430517,99,129,2026-02-02T20:45:55.470+08:00,2026-02-02T20:46:14.940+08:00
6,10.215.173.1,42978,161.49.36.99,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,22774,6266905,362,921,2026-02-02T20:45:55.473+08:00,2026-02-02T20:46:14.881+08:00
6,10.215.173.1,41114,57.144.228.141,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,graph.facebook.com,2014,4798,12,10,2026-02-02T20:45:59.138+08:00,2026-02-02T20:46:12.815+08:00
17,10.215.173.1,27325,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,75,218,1,1,2026-02-02T20:46:04.584+08:00,2026-02-02T20:46:04.603+08:00
6,10.215.173.1,53854,23.217.147.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.update.easebar.com,1165,4073,8,9,2026-02-02T20:46:04.613+08:00,2026-02-02T20:46:04.824+08:00
17,10.215.173.1,43617,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,optsdk.gameyw.easebar.com,71,187,1,1,2026-02-02T20:46:04.706+08:00,2026-02-02T20:46:04.722+08:00
6,10.215.173.1,43674,161.49.34.202,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,optsdk.gameyw.easebar.com,1615,5186,12,11,2026-02-02T20:46:04.729+08:00,2026-02-02T20:46:05.585+08:00
17,10.215.173.1,48085,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,150,218,2,1,2026-02-02T20:46:05.577+08:00,2026-02-02T20:46:10.593+08:00
17,10.215.173.1,56736,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.update.easebar.com,150,218,2,1,2026-02-02T20:46:05.579+08:00,2026-02-02T20:46:10.597+08:00
17,10.215.173.1,47422,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,nos.gameyw.easebar.com,68,182,1,1,2026-02-02T20:46:05.602+08:00,2026-02-02T20:46:05.618+08:00
6,10.215.173.1,53100,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,nos.gameyw.easebar.com,6616,2195786,142,333,2026-02-02T20:46:05.624+08:00,2026-02-02T20:46:12.814+08:00
17,10.215.173.1,28797,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,s.q.easebar.com,61,165,1,1,2026-02-02T20:46:07.899+08:00,2026-02-02T20:46:07.929+08:00
17,10.215.173.1,65509,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,128,1,1,2026-02-02T20:46:07.902+08:00,2026-02-02T20:46:07.908+08:00
17,10.215.173.1,39724,10.215.173.2,53,10356,Tank Company,com.netease.tankcompany,DNS,Closed,h67naxx2gb.gph.easebar.com,72,220,1,1,2026-02-02T20:46:07.906+08:00,2026-02-02T20:46:07.931+08:00
6,10.215.173.1,58552,8.221.212.39,21308,10356,Tank Company,com.netease.tankcompany,TCP,Closed,s.q.easebar.com,259,168,4,4,2026-02-02T20:46:07.937+08:00,2026-02-02T20:46:14.823+08:00
6,10.215.173.1,37040,202.69.184.115,443,10356,Tank Company,com.netease.tankcompany,HTTPS,Closed,h67naxx2gb.gph.easebar.com,7965,5758157,170,929,2026-02-02T20:46:07.941+08:00,2026-02-02T20:46:14.759+08:00
